Date,Run,Ticker,Flag,Category,Reason,VIX,VIX_Change_Pct
2026-07-13,premarket,MU,Caution,sector-contagion,"SK Hynix -15% today (post-IPO rotation) sparking broad memory/chip-sector risk-off; Iran/Strait of Hormuz airstrikes lifting VIX +9% intraday",16.40,9.12
2026-07-13,premarket,SNDK,Caution,sector-contagion,"Same memory-sector contagion risk as MU (SK Hynix -15% today); Iran/Strait of Hormuz airstrikes lifting VIX +9% intraday",16.40,9.12
2026-07-13,premarket,MSFT,Caution,geopolitical,"Broad market volatility from Iran/Strait of Hormuz airstrikes (VIX +9% intraday, oil +4%); no MSFT-specific negative catalyst today — JMP Securities reiterated Outperform, $550 PT",16.40,9.12
2026-07-14,premarket,MU,Caution,macro-scheduled,"June CPI (HIGH impact) at 8:30 AM ET today with bond market pricing rising odds of a Fed HIKE at Jul 28-29 FOMC (Yahoo Finance, Jul 14); memory complex rebounding pre-market (MU +3.2%) on KeyBanc bull note (Barron's, Jul 14) but still whipsawing post SK Hynix-driven Jul 13 selloff",17.34,1.05
2026-07-14,premarket,SNDK,Caution,macro-scheduled,"June CPI (HIGH impact) at 8:30 AM ET today amid Fed-hike repricing; SNDK still -1.3% pre-market ($1,744) after Monday's -12.6% memory-sector rout even as MU/WDC rebound — post-crash volatility in a beta-4.74 name (Invezz, Jul 13)",17.34,1.05
2026-07-14,premarket,MSFT,Caution,macro-scheduled,"June CPI (HIGH impact) at 8:30 AM ET today; MSFT -3.1% pre-market ($378.96) with no single clear catalyst found — AI-trade recalibration + rate-hike bets (Yahoo Finance, Jul 14), El-Erian AI-funding/yields commentary (247wallst, Jul 13), securities class-action PR (PRNewswire, Jul 14)",17.34,1.05
2026-07-15,premarket,MU,Caution,macro-scheduled,"June PPI (MEDIUM) 8:30 AM ET + Fed Beige Book 2 PM ET amid live Fed-hike debate (July hike odds 17% vs 42% pre-CPI, CME FedWatch via Benzinga, Jul 15); Barron's (Jul 15) flags intensifying Chinese memory competition — MU -0.8% pre-market after Tuesday's KeyBanc-driven pop",16.36,-0.85
2026-07-15,premarket,SNDK,Caution,sector-contagion,"Memory-complex whipsaw continues — SNDK -2.4% pre-market ($1,715.89) consolidating Tuesday's SK Hynix leveraged-ETF/KeyBanc-driven pop (SKHY +19%, 247wallst Jul 14) in a beta-4.74 name; June PPI 8:30 AM ET adds macro overlay",16.36,-0.85
2026-07-15,premarket,MSFT,Caution,macro-scheduled,"June PPI 8:30 AM ET + Beige Book 2 PM ET; IBM's software-spend warning (-25.2% worst day on record, WSJ Jul 14) still weighing on enterprise software sentiment — MSFT +0.3% pre-market, no MSFT-specific negative catalyst found",16.36,-0.85
2026-07-15,market-close,MU,Caution,sector-contagion,"MU -8.0% ($904.28) in a memory-complex rout triggered by CXMT's $8.6-9.8B Shanghai STAR IPO (book-building opened Jul 15, lists Jul 27 - Bloomberg/Reuters, Jul 14-15); China's #1 DRAM maker (Q1 rev +719% YoY) is a structural competitive threat; cooler June PPI (-0.3% vs flat exp, BLS Jul 15) removed macro pressure but didn't stem the sector selloff",15.67,-5.03
2026-07-15,market-close,SNDK,Caution,sector-contagion,"SNDK -8.1% ($1,615) in the CXMT-IPO memory rout plus an Argus coverage initiation without a buy rating (Motley Fool, Jul 15); beta 4.74 - intraday range $1,478.50-$1,729.50 (14.5% swing); still ~2% above T2 ceiling $1,581",15.67,-5.03
2026-07-15,market-close,MSFT,Normal,other,"MSFT +2.8% ($395.63) on cooler June PPI + dovish Beige Book (price growth same/slower in all districts - Fed, Jul 15); no negative catalyst; note session high $398.96 pierced the $396 range top intraday - range-trade assumption on watch",15.67,-5.03
2026-07-16,premarket,MU,Caution,sector-contagion,"Memory rout day 2: MU -5.1% pre-market ($858.22, crossing below T1 floor $880 into BUY ZONE) as the CXMT Shanghai IPO overhang and SK Hynix US listing keep pressure on the complex (Barron's, Jul 16: -20% past month); TSMC's record Q2 (+80% net profit) failed to lift memory names; June Retail Sales 8:30 ET adds macro overlay",16.13,2.94
2026-07-16,premarket,SNDK,Caution,sector-contagion,"SNDK -7.7% pre-market ($1,491.41), day 2 of the CXMT-IPO memory rout — drops below T2 ceiling $1,581 into WATCH; MarketBeat (Jul 16) flags impending CXMT IPO reshaping NAND competition; beta 4.74, treat with care",16.13,2.94
2026-07-16,premarket,MSFT,Caution,macro-scheduled,June Retail Sales + jobless claims + Philly Fed 8:30 AM ET today; MSFT +1.2% pre-market ($400.45) trading ABOVE the $396 range top pre-open — breakout decision day per Position Tracker July 15 rules; no negative catalyst found (sources Jul 16),16.13,2.94
2026-07-16,market-close,MU,Caution,sector-contagion,"Memory rout continues (day 3): MU -5.65% ($853.20 close) as TSMC's blowout Q2 (record profit, +33% rev, raised US capex to $100B) triggered capex-fear selloff across the AI/semi complex instead of relief (Investopedia, Zacks, Jul 16); broad chip names down 2nd-3rd straight session",16.73,6.76
2026-07-16,market-close,SNDK,Caution,sector-contagion,"SNDK -12.6% ($1,411.08 close), steepest single-day drop of the current memory rout; Motley Fool (Jul 16) still bullish long-term NAND-shortage thesis, but today tracks the broader MU/AVGO/FSLR complex selloff on TSM capex-fear contagion; beta 4.74",16.73,6.76
2026-07-16,market-close,MSFT,Normal,other,MSFT +1.4% ($401.10 close) bucking the Nasdaq's -1.3% day; stronger jobless claims (208K vs 220K exp) + blowout Philly Fed (41.4 vs 13 exp) offset chip-sector drag; session high $405.99 retested the $396 former range top for a 2nd session,16.73,6.76
2026-07-17,premarket,MU,Caution,sector-contagion,"Broad semiconductor-led premarket selloff (NASDAQ futures -1.8%) amid Iran/Hormuz escalation and hawkish Fed comments (Jefferson); MU -2.17% premarket ($834.64), no MU-specific catalyst found (WebSearch, Jul 17)",18.08,8.07
2026-07-17,premarket,SNDK,Caution,sector-contagion,"Same broad semiconductor-led selloff as MU; SNDK -1.42% premarket ($1,391.11), no SNDK-specific catalyst found (WebSearch, Jul 17)",18.08,8.07
2026-07-17,premarket,MSFT,Caution,geopolitical,"Broad market risk-off (S&P futures -0.9%) on Iran escalation (6th consecutive night of US strikes) + Fed's Jefferson flagging sticky inflation delaying cuts; MSFT -1.79% premarket ($393.90), no company-specific catalyst (WebSearch, Jul 17)",18.08,8.07
2026-07-17,market-close,MU,Caution,sector-contagion,"VIX spiked +12.19% to 18.77 amid broad semiconductor selloff; MU -0.50% close ($848.95), session low $804 (-5.8% off prior close)",18.77,12.19
2026-07-17,market-close,SNDK,Caution,sector-contagion,"Same VIX spike/semiconductor risk-off; SNDK -4.02% close ($1354.38), session low $1325.03 (-6.1% off prior close)",18.77,12.19
2026-07-17,market-close,MSFT,Caution,geopolitical,"Broad market risk-off persisted into the close (VIX +12.19%); MSFT -1.82% close ($393.82), session low $389.39",18.77,12.19
2026-07-20,premarket,MU,Caution,sector-contagion,"MU +4.8% premarket rebounding off bear-market lows after SK Hynix memory-price warning sparked broad buy-the-dip in memory names (Barrons/Invezz, Jul 20); still ~30% below June ATH.",18.0,-4.10
2026-07-20,premarket,SNDK,Caution,sector-contagion,"SNDK +4.2% premarket tracking MU's memory-sector rebound after SK Hynix price warning (Invezz, Jul 20); up ~580% YTD, extreme-volatility name.",18.0,-4.10
2026-07-20,premarket,MSFT,Normal,other,No MSFT-specific catalyst found premarket; -0.8% in line with broad pre-open tone.,18.0,-4.10
2026-07-21,premarket,MU,Normal,other,Memory-sector rebound (MU +7.75%) on Morgan Stanley/BofA bullish notes after last week's selloff; no negative catalyst,17.81,-4.5
2026-07-21,premarket,SNDK,Normal,other,SNDK +10.33% leading the AI-trade rebound (UBS positive note); genuine broad rally not a data anomaly,17.81,-4.5
